epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.26873,1.06251,3.13388,1.10647,0.09,0.93103,0.15204,0.11159,0.92968,2.98461,0.84592,0,0,0
2,1.50789,0.98623,3.0373,1.11759,0.09,0.93103,0.16006,0.11512,0.9562,2.98433,0.85012,1.802e-05,1.802e-05,1.802e-05
3,1.78022,1.10551,3.13003,1.08872,0.09,0.93103,0.15492,0.11252,0.95097,2.98529,0.85071,3.208e-05,3.208e-05,3.208e-05
4,2.0131,1.09545,3.12007,1.07098,0.09667,1,0.17153,0.12566,0.98854,2.97741,0.85213,4.218e-05,4.218e-05,4.218e-05
5,2.2698,0.95488,3.00037,1.01723,0.09667,1,0.17957,0.13275,0.97268,2.9759,0.85114,4.832e-05,4.832e-05,4.832e-05
6,2.52957,1.06286,3.15385,1.02216,0.09667,1,0.19412,0.14137,0.97532,2.97004,0.8465,5.05e-05,5.05e-05,5.05e-05
7,2.79435,1.05283,3.0896,1.00459,0.09667,1,0.2008,0.14659,0.98256,2.96555,0.84676,4.872e-05,4.872e-05,4.872e-05
8,3.05501,0.88951,2.81931,0.97148,0.09667,1,0.20273,0.1457,0.99825,2.96233,0.84829,4.298e-05,4.298e-05,4.298e-05
9,3.29295,0.94373,2.84203,0.96117,0.09667,1,0.19705,0.14117,0.9898,2.96164,0.84761,3.328e-05,3.328e-05,3.328e-05
10,3.52441,0.81756,2.66667,0.94635,0.09667,1,0.19885,0.14297,0.98826,2.95864,0.84891,1.962e-05,1.962e-05,1.962e-05
